year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2016,25383,44596,39.619,-104.335,p33,5,1,4095.333542761631,63.59999999999991,1
2016,31037,52562,37.441,-106.003,p34,5,1,1165.754674214778,301.5,1
2016,27909,48018,38.759,-103.943,p34,5,2,6230.463320498731,6.699999999999818,0
2016,6639,19412,44.18899999999999,-121.191,p5,4,1,7966.665690031412,19.800000000000182,1
2016,46051,74214,31.769,-106.252,p59,7,1,11021.772580640292,10.299999999999955,0
2016,11516,27003,42.077,-121.699,p6,4,1,6484.197259662879,5.0,1
2016,12437,28164,42.31,-118.571,p7,4,1,1855.8987812347204,53.0,1
2016,18851,36336,41.885,-89.85700000000001,p80,3,18,40252.40588918568,9.0,0
2016,29654,50558,36.094,-120.106,p9,6,1,7561.286457201259,2072.6400000000003,1
2018,33772,56268,34.901,-118.318,p10,6,1,3498.713204010492,2294.99138461538,1
2018,34061,56646,34.759,-118.545,p10,6,7,22996.243665644142,21.0,0
2018,41144,66547,32.704,-115.125,p10,7,1,4192.343346306519,909.564615384615,0
2018,41146,66549,32.744,-114.873,p10,7,2,5936.406118444633,1580.89461538462,0
2018,40889,66168,32.821,-115.025,p10,7,3,12943.056893811929,1481.135384615389,0
2018,50755,85807,28.392,-82.251,p101,5,12,38317.706447198696,25.0,0
2018,39049,63496,33.251999999999995,-116.733,p11,6,1,5548.73594315184,62.299999999999955,1
2018,28650,49078,37.36,-114.911,p12,6,1,1156.0733544655063,117.40000000000009,1
2018,31252,52876,36.36,-114.908,p13,6,1,2338.8171989892207,1495.627790625,1
2018,30981,52493,36.397,-115.334,p13,6,1,3749.270555481093,60.97220937499992,1
2018,32067,54009,35.931999999999995,-115.753,p13,6,20,104848.59785039046,10.0,0
2018,10206,25141,43.442,-116.356,p15,4,1,1040.8784565595813,200.0,1
2018,15144,31618,42.145,-113.356,p16,4,1,993.8409668001392,40.0,1
2018,17209,34299,41.81,-110.123,p21,4,1,1387.431671026059,92.0,1
2018,31287,52917,37.042,-109.397,p25,6,1,9706.418830448572,810.4000000000001,0
2018,36357,59722,34.735,-113.656,p27,6,1,3204.978219070488,74.0,1
2018,38238,62379,34.001999999999995,-113.872,p28,6,1,1103.4691319312185,554.1000000000004,1
2018,41906,67692,32.511,-114.419,p28,7,1,21504.362873535043,928.4000000000001,0
2018,33530,55954,36.223,-109.646,p29,6,1,1359.0199170283956,8.300000000000182,0
2018,2391,11831,46.544,-119.104,p3,3,1,2424.219490924944,19.199999999999818,1
2018,44146,71139,32.099000000000004,-110.81,p30,6,1,1571.6761117400213,128.44000000000005,0
2018,45599,73450,31.923,-106.786,p31,7,1,9414.943366517493,297.49999999999955,1
2018,25383,44596,39.619,-104.335,p33,5,1,4095.333542761631,129.5999999999999,1
