"Dim1","Val"
"2010",1.49303295007386
"2012",1.9375955231736
"2014",1.48778839352467
"2016",2.48484473007371
"2018",1.91900033891987
"2020",2.53977541259226
"2022",1.24811087534212
"2024",1.20647332250238
"2026",0.980286416929478
"2028",0.742675006093336
"2030",0.53468426972232
"2032",0.450183131937271
"2034",0.419615595147466
"2036",0.339464527125835
"2038",0.286457205854812
"2040",0.291438743661045
"2042",0.309646625150703
"2044",0.335847268943936
"2046",0.379184878246012
"2048",0.410970021993221
"2050",0.440834211212192
