"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"battery_2","p5","spri","4","2022",5
"battery_2","p5","spri","4","2024",5
"battery_2","p5","spri","4","2026",5
"battery_2","p5","spri","4","2028",5
"battery_2","p5","spri","4","2040",98.7349750000001
"battery_2","p5","spri","4","2042",98.7349750000001
"battery_2","p5","spri","4","2044",98.7349750000001
"battery_2","p5","spri","4","2046",98.7349750000001
"battery_2","p5","spri","4","2048",98.7349750000001
"battery_2","p5","spri","4","2050",98.7349750000001
"battery_2","p5","spri","8760","2014",5
"battery_2","p5","spri","8760","2016",5
"battery_2","p5","spri","8760","2018",5
"battery_2","p5","spri","8760","2020",5
"battery_2","p6","summ","2","2030",1.25
"battery_2","p6","summ","2","2032",1.25
"battery_2","p6","summ","2","2038",2.93364712063607
"battery_2","p6","summ","2","2040",3.88564712063607
"battery_2","p6","summ","2","2042",3.88564712063607
"battery_2","p6","summ","2","2044",3.88564712063607
"battery_2","p6","summ","2","2046",4.78465937443678
"battery_2","p6","summ","2","2048",4.78465937443678
"battery_2","p6","summ","4","2022",1.25
"battery_2","p6","summ","4","2024",1.25
"battery_2","p6","summ","4","2026",1.25
"battery_2","p6","summ","4","2028",1.25
"battery_2","p6","summ","4","2034",1.25
"battery_2","p6","summ","4","2036",1.25
"battery_2","p6","summ","4","2050",4.78465937443678
"battery_2","p6","fall","2","2034",1.25
"battery_2","p6","fall","2","2036",1.25
"battery_2","p6","fall","2","2038",2.93364712063607
"battery_2","p6","fall","2","2040",3.88564712063607
"battery_2","p6","fall","2","2042",3.88564712063607
"battery_2","p6","fall","2","2044",3.88564712063607
"battery_2","p6","fall","2","2046",4.78465937443678
"battery_2","p6","fall","2","2048",4.78465937443678
"battery_2","p6","fall","2","2050",4.78465937443678
"battery_2","p6","fall","4","2022",1.25
"battery_2","p6","fall","4","2024",1.25
"battery_2","p6","fall","4","2026",1.25
"battery_2","p6","fall","4","2028",1.25
"battery_2","p6","fall","4","2030",1.25
"battery_2","p6","fall","4","2032",1.25
"battery_2","p6","wint","2","2040",3.88564712063607
"battery_2","p6","wint","2","2042",3.88564712063607
"battery_2","p6","wint","2","2044",3.88564712063607
"battery_2","p6","wint","2","2046",4.78465937443678
"battery_2","p6","wint","4","2022",1.25
"battery_2","p6","wint","4","2024",1.25
"battery_2","p6","wint","4","2026",1.25
"battery_2","p6","wint","4","2028",1.25
"battery_2","p6","wint","4","2030",1.25
"battery_2","p6","wint","4","2032",1.25
"battery_2","p6","wint","4","2034",1.25
"battery_2","p6","wint","4","2036",1.25
"battery_2","p6","wint","4","2038",2.93364712063607
"battery_2","p6","wint","4","2048",4.78465937443678
"battery_2","p6","wint","4","2050",4.78465937443678
"battery_2","p6","spri","4","2022",1.25
"battery_2","p6","spri","4","2024",1.25
"battery_2","p6","spri","4","2026",1.25
"battery_2","p6","spri","4","2028",1.25
"battery_2","p6","spri","4","2030",1.25
"battery_2","p6","spri","4","2032",1.25
"battery_2","p6","spri","4","2034",1.25
"battery_2","p6","spri","4","2036",1.25
"battery_2","p6","spri","4","2038",2.93364712063607
"battery_2","p6","spri","4","2040",3.88564712063607
"battery_2","p6","spri","4","2042",3.88564712063607
"battery_2","p6","spri","4","2044",3.88564712063607
"battery_2","p6","spri","4","2046",4.78465937443678
"battery_2","p6","spri","4","2048",4.78465937443678
"battery_2","p6","spri","4","2050",4.78465937443678
"battery_2","p8","summ","2","2038",1.46146167619907
"battery_2","p8","summ","2","2040",1.46146167619907
"battery_2","p8","summ","4","2042",1.46146167619907
"battery_2","p8","summ","4","2044",1.46146167619907
"battery_2","p8","summ","4","2046",146.485801302944
"battery_2","p8","summ","4","2048",153.998136263318
"battery_2","p8","summ","4","2050",159.082464625123
"battery_2","p8","fall","2","2038",1.46146167619907
"battery_2","p8","fall","2","2040",1.46146167619907
"battery_2","p8","fall","2","2042",1.46146167619907
"battery_2","p8","fall","2","2044",1.46146167619907
"battery_2","p8","fall","2","2046",146.485801302944
"battery_2","p8","fall","2","2048",153.998136263318
"battery_2","p8","fall","2","2050",159.082464625123
"battery_2","p8","wint","2","2040",1.46146167619907
"battery_2","p8","wint","2","2042",1.46146167619907
"battery_2","p8","wint","2","2044",1.46146167619907
"battery_2","p8","wint","2","2046",146.485801302944
"battery_2","p8","wint","4","2038",1.46146167619907
"battery_2","p8","wint","4","2048",153.998136263318
"battery_2","p8","wint","4","2050",159.082464625123
"battery_2","p8","spri","4","2038",1.46146167619907
"battery_2","p8","spri","4","2040",1.46146167619907
"battery_2","p8","spri","4","2042",1.46146167619907
"battery_2","p8","spri","4","2044",1.46146167619907
"battery_2","p8","spri","4","2046",146.485801302944
"battery_2","p8","spri","4","2048",153.998136263318
"battery_2","p8","spri","4","2050",159.082464625123
"battery_2","p9","summ","2","2024",256.086421816661
"battery_2","p9","summ","2","2026",728.842153200734
"battery_2","p9","summ","2","2028",728.842153200734
"battery_2","p9","summ","2","2030",813.216169862432
"battery_2","p9","summ","2","2032",1868.09470155556
"battery_2","p9","summ","2","2034",1868.09470155556
"battery_2","p9","summ","2","2036",1868.09470155556
"battery_2","p9","summ","2","2038",1904.96
"battery_2","p9","summ","2","2040",2026.87033019138
"battery_2","p9","summ","2","2042",1554.1145988073
"battery_2","p9","summ","2","2044",1702.69
"battery_2","p9","summ","2","2046",1101.36
"battery_2","p9","summ","2","2048",701.5
"battery_2","p9","summ","2","2050",701.2
"battery_2","p9","summ","4","2038",152.965868125767
"battery_2","p9","summ","4","2044",234.830752583403
"battery_2","p9","summ","4","2046",1327.22544802582
"battery_2","p9","summ","4","2048",1357.64507644705
"battery_2","p9","summ","4","2050",1625.37001387048
"battery_2","p9","fall","2","2036",1868.09470155556
"battery_2","p9","fall","2","2038",2057.92586812577
"battery_2","p9","fall","2","2040",2026.87033019138
"battery_2","p9","fall","2","2042",1554.1145988073
"battery_2","p9","fall","2","2044",1937.5207525834
"battery_2","p9","fall","2","2046",2428.58544802581
"battery_2","p9","fall","2","2048",2059.14507644705
"battery_2","p9","fall","2","2050",2326.57001387048
"battery_2","p9","fall","4","2024",256.086421816661
"battery_2","p9","fall","4","2026",728.842153200734
"battery_2","p9","fall","4","2028",728.842153200734
"battery_2","p9","fall","4","2030",813.216169862432
"battery_2","p9","fall","4","2032",1868.09470155556
"battery_2","p9","fall","4","2034",1868.09470155556
"battery_2","p9","wint","2","2044",1937.5207525834
"battery_2","p9","wint","2","2046",426.143680641023
"battery_2","p9","wint","4","2024",256.086421816661
"battery_2","p9","wint","4","2026",728.842153200734
"battery_2","p9","wint","4","2028",728.842153200734
"battery_2","p9","wint","4","2040",2026.87033019138
"battery_2","p9","wint","4","2042",1554.1145988073
"battery_2","p9","wint","4","2046",2002.44176738479
"battery_2","p9","wint","4","2048",958.84486588021
"battery_2","p9","wint","6","2030",813.216169862432
"battery_2","p9","wint","6","2032",1868.09470155556
"battery_2","p9","wint","6","2034",1868.09470155556
"battery_2","p9","wint","6","2036",1868.09470155556
"battery_2","p9","wint","6","2038",2057.92586812577
"battery_2","p9","wint","6","2048",1100.30021056684
"battery_2","p9","wint","6","2050",2326.57001387048
"battery_2","p9","spri","4","2024",256.086421816661
"battery_2","p9","spri","4","2026",728.842153200734
"battery_2","p9","spri","4","2028",728.842153200734
"battery_2","p9","spri","4","2030",813.216169862432
"battery_2","p9","spri","4","2034",1054.87853169313
"battery_2","p9","spri","4","2038",1244.70969826333
"battery_2","p9","spri","4","2048",810.488918895392
"battery_2","p9","spri","6","2032",1868.09470155556
"battery_2","p9","spri","6","2034",813.216169862432
"battery_2","p9","spri","6","2036",1868.09470155556
"battery_2","p9","spri","6","2038",813.216169862432
"battery_2","p9","spri","6","2040",2026.87033019138
"battery_2","p9","spri","6","2042",1554.1145988073
"battery_2","p9","spri","6","2044",1937.5207525834
"battery_2","p9","spri","6","2046",2428.58544802581
"battery_2","p9","spri","6","2048",1248.65615755166
"battery_2","p9","spri","6","2050",2326.57001387048
"battery_2","p10","summ","2","2024",75.066492638769
"battery_2","p10","summ","2","2026",201.18551187839
"battery_2","p10","summ","2","2028",199.94551187839
"battery_2","p10","summ","2","2030",315.611495216692
"battery_2","p10","summ","2","2032",1266.18296352356
"battery_2","p10","summ","2","2034",963.892963523562
"battery_2","p10","summ","2","2036",263.772963523562
"battery_2","p10","summ","2","2042",75.4009807603795
"battery_2","p10","summ","4","2028",1.24000000000001
"battery_2","p10","summ","4","2034",302.29
"battery_2","p10","summ","4","2036",1002.41
"battery_2","p10","summ","4","2038",1972.45270152104
"battery_2","p10","summ","4","2040",2604.06
"battery_2","p10","summ","4","2042",2402.54
"battery_2","p10","summ","4","2044",3373.63570855968
"battery_2","p10","summ","4","2046",3259.20972522138
"battery_2","p10","summ","4","2048",3864.96515937671
"battery_2","p10","summ","4","2050",3864.96515937671
"battery_2","p10","fall","2","2036",1266.18296352356
"battery_2","p10","fall","2","2038",1972.45270152104
"battery_2","p10","fall","2","2040",2604.06
"battery_2","p10","fall","2","2042",2477.94098076038
"battery_2","p10","fall","2","2044",3373.63570855968
"battery_2","p10","fall","2","2046",3259.20972522138
"battery_2","p10","fall","2","2048",3834.52009680014
"battery_2","p10","fall","2","2050",3864.96515937671
"battery_2","p10","fall","4","2024",75.066492638769
"battery_2","p10","fall","4","2026",201.18551187839
"battery_2","p10","fall","4","2028",201.18551187839
"battery_2","p10","fall","4","2030",315.611495216692
"battery_2","p10","fall","4","2032",1266.18296352356
"battery_2","p10","fall","4","2034",1266.18296352356
"battery_2","p10","fall","4","2048",30.4450625765699
"battery_2","p10","wint","4","2024",75.066492638769
"battery_2","p10","wint","4","2026",201.18551187839
"battery_2","p10","wint","4","2028",201.18551187839
"battery_2","p10","wint","4","2040",2604.06
"battery_2","p10","wint","4","2042",2477.94098076038
"battery_2","p10","wint","4","2044",3373.63570855968
"battery_2","p10","wint","4","2046",3259.20972522138
"battery_2","p10","wint","4","2048",3864.96515937671
"battery_2","p10","wint","4","2050",1556.3269024622
"battery_2","p10","wint","6","2030",315.611495216692
"battery_2","p10","wint","6","2032",1266.18296352356
"battery_2","p10","wint","6","2034",1266.18296352356
"battery_2","p10","wint","6","2036",1266.18296352356
"battery_2","p10","wint","6","2038",1972.45270152104
"battery_2","p10","wint","6","2050",2308.63825691451
"battery_2","p10","spri","4","2024",75.066492638769
"battery_2","p10","spri","4","2026",201.18551187839
"battery_2","p10","spri","4","2028",201.18551187839
"battery_2","p10","spri","4","2030",315.611495216692
"battery_2","p10","spri","4","2044",950.57146830687
"battery_2","p10","spri","4","2048",3158.29136825898
"battery_2","p10","spri","4","2050",1160.98265706871
"battery_2","p10","spri","6","2032",1266.18296352356
"battery_2","p10","spri","6","2034",1266.18296352356
"battery_2","p10","spri","6","2036",1266.18296352356
"battery_2","p10","spri","6","2038",1972.45270152104
"battery_2","p10","spri","6","2040",2604.06
"battery_2","p10","spri","6","2042",2477.94098076038
"battery_2","p10","spri","6","2044",2423.06424025281
"battery_2","p10","spri","6","2046",3259.20972522138
"battery_2","p10","spri","6","2048",706.673791117729
"battery_2","p10","spri","6","2050",2703.982502308
"battery_2","p11","summ","2","2024",170.39708554457
"battery_2","p11","summ","2","2026",173.562334920876
"battery_2","p11","summ","2","2028",173.562334920876
"battery_2","p11","summ","2","2030",173.562334920876
"battery_2","p11","summ","2","2032",173.562334920876
"battery_2","p11","summ","2","2034",173.562334920876
"battery_2","p11","summ","2","2036",173.562334920876
"battery_2","p11","summ","2","2040",176.569669808623
"battery_2","p11","summ","2","2042",173.404420432317
"battery_2","p11","summ","4","2038",280.841430353193
"battery_2","p11","summ","4","2044",297.693538856915
"battery_2","p11","summ","4","2046",319.624826752805
"battery_2","p11","summ","4","2048",319.624826752805
"battery_2","p11","summ","4","2050",319.624826752805
"battery_2","p11","fall","2","2036",173.562334920876
"battery_2","p11","fall","2","2038",280.841430353193
"battery_2","p11","fall","2","2040",176.569669808623
"battery_2","p11","fall","2","2042",173.404420432317
"battery_2","p11","fall","2","2044",297.693538856915
"battery_2","p11","fall","2","2046",319.624826752805
"battery_2","p11","fall","2","2048",319.624826752805
"battery_2","p11","fall","2","2050",319.624826752805
"battery_2","p11","fall","4","2024",170.39708554457
"battery_2","p11","fall","4","2026",173.562334920876
"battery_2","p11","fall","4","2028",173.562334920876
"battery_2","p11","fall","4","2030",173.562334920876
