"Dim1","Val"
"2010",100000
"2012",64759.06549
"2014",77396.6231
"2016",67396.09867
"2018",63196.656
"2020",58997.21333
"2022",56897.492
"2024",53000
"2026",48000
"2028",43000
"2030",38000
"2032",35000
"2034",32000
"2036",29000
"2038",26000
"2040",23000
"2042",20000
"2044",17000
"2046",15000
"2048",15000
"2050",15000
