"Dim1","Val"
"2010",907185.819
"2012",149685.66
"2014",82553.91
"2016",78477.81
"2018",74602.968
"2020",87248.792
"2022",105337.881
"2024",98706.353
"2026",92074.825
"2028",85443.296
"2030",78811.768
"2032",78811.768
"2034",78811.768
"2036",78811.768
"2038",78811.768
"2040",78811.768
"2042",78811.768
"2044",78811.768
"2046",78811.768
"2048",78811.768
"2050",78811.768
