"Dim1","Dim2","Dim3","Val"
"CO2","p13","2034",2937886.7120844
"CO2","p13","2036",2043164.20413852
"CO2","p13","2038",1279569.90160645
"CO2","p13","2040",906590.674258201
"CO2","p13","2042",1490871.16997125
"CO2","p13","2044",3217422.64278554
"CO2","p13","2046",4510769.31839397
"CO2","p13","2048",4877575.26966339
"CO2","p13","2050",6451730.35535575
"CO2","p14","2010",151383.248352
"CO2","p14","2012",223701.8321664
"CO2","p14","2014",132432.496217029
"CO2","p14","2016",563685.209471796
"CO2","p14","2018",148626.9497664
"CO2","p14","2020",769202.313901056
"CO2","p14","2040",1376450.91840995
"CO2","p14","2042",839104.717430092
"CO2","p14","2044",839104.717430092
"CO2","p14","2046",913820.4567412
"CO2","p14","2048",1212801.91636823
"CO2","p14","2050",1573809.91353695
"CO2","p15","2012",831496.989065616
"CO2","p15","2014",831496.989065616
"CO2","p15","2016",831496.989065616
"CO2","p15","2018",831496.989065616
"CO2","p15","2020",831496.989065616
"CO2","p15","2022",831496.989065616
"CO2","p15","2024",831496.989065616
"CO2","p15","2026",668605.097183873
"CO2","p15","2028",634620.457870416
"CO2","p15","2030",595298.975713416
"CO2","p15","2032",599400.570113316
"CO2","p15","2034",1810747.70323182
"CO2","p15","2036",1620875.87155944
"CO2","p15","2038",1631460.93177802
"CO2","p15","2040",1081104.28330524
"CO2","p15","2042",2271387.17850764
"CO2","p15","2044",1309576.24759821
"CO2","p15","2046",2122996.70279446
"CO2","p15","2048",2485071.04785971
"CO2","p15","2050",2245185.73549964
"CO2","p16","2036",-1.80417600859073E-11
"CO2","p16","2040",89618.5125300967
"CO2","p16","2042",144077.415070336
"CO2","p16","2044",112249.994843733
"CO2","p16","2046",-4.24961399403401E-12
"CO2","p16","2048",271198.463196001
"CO2","p17","2012",401221.696010537
"CO2","p17","2014",158516.229339062
"CO2","p17","2016",177106.080806424
"CO2","p17","2018",408274.738615941
"CO2","p17","2020",365883.472445121
"CO2","p17","2022",197852.798181024
"CO2","p17","2024",253201.848006927
"CO2","p17","2026",301505.690517425
"CO2","p17","2028",372103.766444328
"CO2","p17","2030",139559.4805832
"CO2","p17","2032",134811.13852876
"CO2","p17","2034",22149.9358429515
"CO2","p18","2010",542326.699195392
"CO2","p18","2012",135491.098964756
"CO2","p18","2014",42418.2550568659
"CO2","p18","2016",102785.399298393
"CO2","p18","2018",47523.4800505809
"CO2","p18","2020",166824.570871253
"CO2","p18","2022",46077.87070854
