"Dim1","Val"
"2010",0.196201599593899
"2012",0.167228780866053
"2014",0.228907782805261
"2016",0.15605117237822
"2018",0.155508562637732
"2020",0.164501839531831
"2022",0.256599715936745
"2024",0.284783396324797
"2026",0.331639328730798
"2028",0.357139115716866
"2030",0.380833337659413
"2032",0.38110266163042
"2034",0.362256968610914
"2036",0.39193556785715
"2038",0.369215035190744
"2040",0.344893424965334
"2042",0.344928713926311
"2044",0.328804490100658
"2046",0.303614031763839
"2048",0.326087348465405
"2050",0.313451219696219
