year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2009,19462,34030,42.583,-93.674,s132,5,2,35062.1257285549,212.9652,1
2009,18494,32876,42.894,-95.763,s132,5,2,35156.12997936775,251.748,1
2009,18179,32497,42.99100000000001,-95.613,s132,5,2,36678.04152490223,187.5617844238281,1
2009,19464,34032,42.578,-93.375,s132,5,3,66889.44094106191,170.25430737304688,1
2009,18811,33256,42.79600000000001,-95.764,s132,5,3,76069.79906830983,85.03569262695311,1
2009,18181,32499,42.99,-95.312,s132,5,4,123832.41452542708,99.4356,1
2009,19137,33644,42.692,-94.567,s132,5,4,126479.70628350152,94.3831458984375,1
2009,19450,34018,42.601000000000006,-95.466,s132,5,4,126631.76363312524,5.611254101562508,1
2009,17233,31360,43.281000000000006,-95.158,s132,5,5,161143.52166548598,65.4642,1
2009,19454,34022,42.597,-94.868,s132,5,5,164448.75098305818,108.68710122070313,1
2009,17563,31750,43.168,-93.652,s132,5,5,166480.83019315318,66.82869877929689,1
2009,20086,34778,42.406000000000006,-95.467,s132,6,1,-10715.634770458611,132.0,1
2009,17551,31738,43.185,-95.461,s132,6,2,95043.02092301368,28.0,1
2009,19155,33662,42.641000000000005,-91.878,s133,6,5,208466.48590226617,65.46517294921875,1
2009,18199,32517,42.952,-92.608,s133,6,5,209005.48176152952,15.434827050781252,1
2009,18515,32897,42.855,-92.614,s133,7,3,174005.0724516706,0.9000000000000057,1
2009,21038,35920,42.112,-95.173,s134,5,1,33760.660876192094,226.6218,1
2009,23345,38580,41.429,-95.182,s134,5,1,45788.44865887118,192.9906,1
2009,23021,38200,41.527,-95.181,s134,5,1,55029.78927815442,9.687599999999946,1
2009,30146,46520,39.295,-100.882,s135,5,1,24195.32983740803,99.0,1
2009,35332,52983,37.648,-100.347,s136,2,1,22884.726366473617,112.0,1
2009,33231,50331,38.364,-99.275,s136,3,3,83219.26365076905,49.7,1
2009,36512,54513,37.293,-98.947,s136,4,2,89089.87814811547,100.5,1
2009,31741,48439,38.875,-98.173,s137,3,2,26173.4400235897,148.5,1
2009,29857,46163,39.47,-97.624,s137,3,4,94275.06102630372,105.0,1
2009,30477,46916,39.259,-98.611,s137,4,2,103641.32857481804,96.0,1
2009,28560,44632,39.833,-99.206,s137,6,3,123767.43427234975,100.8,1
2009,35654,53390,37.619,-96.611,s139,1,1,296460.223979311,51.3216,1
2009,35351,53002,37.707,-97.719,s139,3,1,89717.22512345217,50.0,1
2009,35940,53760,37.507,-97.99,s139,4,5,218668.13140980425,55.6713,1
2009,37387,55660,37.017,-97.976,s139,5,5,195389.2473008824,36.717299999999994,1
2009,36236,54147,37.42,-97.023,s141,5,2,324431.44768675405,6.289800000000007,1
2009,26652,42382,40.451,-94.906,s144,5,1,32559.6060830338,56.69999999999999,1
2009,26650,42380,40.453,-95.195,s144,6,1,18089.385589740297,50.400000000000006,1
2009,31769,48473,38.867,-93.383,s144,6,2,93841.21866545182,50.400000000000006,1
2009,26662,42392,40.433,-93.463,s144,6,3,144642.85227338044,95.0859,1
2009,27958,43913,40.04,-93.335,s144,6,4,182212.58040063237,50.914100000000005,1
2009,28925,45052,39.749,-93.49,s144,7,5,266667.76665764546,5.0,1
2009,42948,62839,34.953,-103.377,s148,1,1,42484.21711053338,60.0,1
2009,43807,63980,34.666,-103.214,s148,3,2,30715.039850686204,90.0,1
2009,42652,62459,35.051,-103.387,s148,3,3,54572.26052990335,20.0,1
2009,46028,67019,33.871,-103.265,s148,4,1,3377.4390855045312,204.0,1
2009,47607,69297,33.265,-103.464,s148,5,5,99576.960814152,1.8999999999999773,1
2009,42347,62075,35.117,-103.929,s148,6,1,-2122.6964083281127,30.0,1
2009,48122,70071,33.163000000000004,-101.634,s149,5,1,26342.663622788845,160.0,1
2009,48617,70834,32.982,-101.231,s149,5,2,48783.06692284899,84.0,1
