"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"battery_2","new5","p1","2024","IN",51.5347798277567
"battery_2","new5","p1","2024","out",11.1947693138926
"battery_2","new5","p1","2026","IN",243.569267090475
"battery_2","new5","p1","2026","out",184
"battery_2","new5","p1","2028","IN",320.415638064892
"battery_2","new5","p1","2028","out",249.090274597968
"battery_2","new5","p1","2030","IN",242.050866864307
"battery_2","new5","p1","2030","out",184
"battery_2","new5","p1","2032","IN",365.296863505617
"battery_2","new5","p1","2032","out",289.225584788667
"battery_2","new5","p1","2034","IN",560.568159252935
"battery_2","new5","p1","2034","out",455.329582397411
"battery_2","new5","p1","2036","IN",646.75738320892
"battery_2","new5","p1","2036","out",530.998450249264
"battery_2","new5","p6","2022","IN",104.805825968456
"battery_2","new5","p6","2022","out",49
"battery_2","new5","p6","2024","IN",68.3410390596266
"battery_2","new5","p6","2024","out",17.3132817701476
"battery_2","new5","p6","2026","IN",372.131048058128
"battery_2","new5","p6","2026","out",287.634111058318
"battery_2","new5","p6","2028","IN",355.6140944247
"battery_2","new5","p6","2028","out",274.687561488343
"battery_2","new5","p6","2030","IN",352.373609842948
"battery_2","new5","p6","2030","out",276.170295715253
"battery_2","new5","p6","2032","IN",1639.58426880978
"battery_2","new5","p6","2032","out",1382.45154738782
"battery_2","new5","p6","2034","IN",1293.08614015026
"battery_2","new5","p6","2034","out",1076.46937760606
"battery_2","new5","p6","2036","IN",529.016095333963
"battery_2","new5","p6","2036","out",431.190846218897
"battery_2","new5","p12","2022","IN",8330.80181438844
"battery_2","new5","p12","2022","out",3920
"battery_2","new5","p12","2024","IN",11950.7353221842
"battery_2","new5","p12","2024","out",7054.44778352252
"battery_2","new5","p12","2026","IN",79769.5180583317
"battery_2","new5","p12","2026","out",66564.1692729598
"battery_2","new5","p12","2028","IN",96701.7634156893
"battery_2","new5","p12","2028","out",81263.4727008331
"battery_2","new5","p12","2030","IN",38183.2611765841
"battery_2","new5","p12","2030","out",31450.1162209371
"battery_2","new5","p12","2032","IN",95107.0683553866
"battery_2","new5","p12","2032","out",80565.9333747809
"battery_2","new5","p12","2034","IN",59034.8395227388
"battery_2","new5","p12","2034","out",49242.1319648159
"battery_2","new5","p12","2036","IN",74607.2821952045
"battery_2","new5","p12","2036","out",62906.146102507
"battery_2","new5","p13","2022","IN",96868.3771423022
"battery_2","new5","p13","2022","out",80086.9559434501
"battery_2","new5","p13","2024","IN",40481.8790293301
"battery_2","new5","p13","2024","out",32059.8001648873
"battery_2","new5","p13","2026","IN",98538.7612215921
"battery_2","new5","p13","2026","out",82403.3554461286
"battery_2","new5","p13","2028","IN",75181.4682444217
"battery_2","new5","p13","2028","out",63394.8826856425
"battery_2","new5","p13","2030","IN",146698.36733131
"battery_2","new5","p13","2030","out",124670.763328063
"battery_2","new5","p13","2032","IN",103508.434311602
"battery_2","new5","p13","2032","out",87981.4429349486
"battery_2","new5","p13","2034","IN",124480.233142124
"battery_2","new5","p13","2034","out",105401.081081081
"battery_2","new5","p13","2036","IN",129669.977205741
"battery_2","new5","p13","2036","out",110218.358605244
"battery_2","new5","p18","2022","IN",153557.177832987
"battery_2","new5","p18","2022","out",125418.046425625
"battery_2","new5","p18","2024","IN",15021.6635188402
"battery_2","new5","p18","2024","out",6269.70801418908
"battery_2","new5","p18","2026","IN",99542.4225894325
"battery_2","new5","p18","2026","out",79508.3724470002
"battery_2","new5","p18","2028","IN",141939.604064201
"battery_2","new5","p18","2028","out",116901.680906452
"battery_2","new5","p18","2030","IN",147725.791850227
"battery_2","new5","p18","2030","out",122747.761482762
"battery_2","new5","p18","2032","IN",178939.430459201
"battery_2","new5","p18","2032","out",149574.988250484
"battery_2","new5","p18","2034","IN",154165.17146547
"battery_2","new5","p18","2034","out",128819.076284542
"battery_2","new5","p18","2036","IN",134588.997400931
"battery_2","new5","p18","2036","out",111148.676608606
"battery_2","new5","p23","2022","IN",11.2643081233207
"battery_2","new5","p23","2022","out",9.56978577197288
"battery_2","new5","p23","2024","IN",0.13683297324518
"battery_2","new5","p23","2026","IN",0.877937795854701
"battery_2","new5","p23","2026","out",0.651647403992624
"battery_2","new5","p23","2028","IN",1.81741160445702
"battery_2","new5","p23","2028","out",1.48281579521363
"battery_2","new5","p23","2030","IN",1.811693055593
"battery_2","new5","p23","2030","out",1.49216643961486
"battery_2","new5","p23","2032","IN",3.09810435440816
"battery_2","new5","p23","2032","out",2.58287748312918
"battery_2","new5","p23","2034","IN",3.80920835774575
"battery_2","new5","p23","2034","out",3.18975992173432
"battery_2","new5","p23","2036","IN",3.10166721760218
"battery_2","new5","p23","2036","out",2.60765562421168
"battery_2","new5","p28","2022","IN",114607.05891635
"battery_2","new5","p28","2022","out",91420.9645326803
"battery_2","new5","p28","2024","IN",11374.6550928589
"battery_2","new5","p28","2024","out",2372.39919874999
"battery_2","new5","p28","2026","IN",105881.585315953
"battery_2","new5","p28","2026","out",85481.4301423612
"battery_2","new5","p28","2028","IN",163593.785526235
"battery_2","new5","p28","2028","out",138451.04575
"battery_2","new5","p28","2030","IN",172000.539043204
"battery_2","new5","p28","2030","out",145332.12304082
"battery_2","new5","p28","2032","IN",281379.016674443
"battery_2","new5","p28","2032","out",238956.776886334
"battery_2","new5","p28","2034","IN",297796.75752567
"battery_2","new5","p28","2034","out",253126.168941519
"battery_2","new5","p28","2036","IN",267526.321641539
"battery_2","new5","p28","2036","out",226432.225695609
"battery_2","new7","p9","2024","IN",343589.95082626
"battery_2","new7","p9","2024","out",291392.051084615
"battery_2","new7","p9","2026","IN",223692.510820502
"battery_2","new7","p9","2026","out",188432.072604636
"battery_2","new7","p9","2028","IN",137180.462312821
"battery_2","new7","p9","2028","out",114739.172496302
"battery_2","new7","p9","2030","IN",272215.522729839
"battery_2","new7","p9","2030","out",229457.423695337
"battery_2","new7","p9","2032","IN",362851.202345582
"battery_2","new7","p9","2032","out",307039.866244658
"battery_2","new7","p9","2034","IN",345639.906136314
"battery_2","new7","p9","2034","out",293375.220856849
"battery_2","new7","p9","2036","IN",354065.069810457
"battery_2","new7","p9","2036","out",299514.181561853
"battery_2","new7","p9","2038","IN",273365.802106694
"battery_2","new7","p9","2038","out",229713.272660405
"battery_2","new7","p10","2024","IN",79421.2779090615
"battery_2","new7","p10","2024","out",67136.7475226091
"battery_2","new7","p10","2026","IN",54680.8997759449
"battery_2","new7","p10","2026","out",45640.4275243716
"battery_2","new7","p10","2028","IN",54366.2544436215
"battery_2","new7","p10","2028","out",45640.4275243716
"battery_2","new7","p10","2030","IN",90308.4721109684
"battery_2","new7","p10","2030","out",76762.2012943232
"battery_2","new7","p10","2032","IN",133466.878103196
"battery_2","new7","p10","2032","out",113446.004126929
"battery_2","new7","p10","2034","IN",139409.812103237
"battery_2","new7","p10","2034","out",118482.701505236
"battery_2","new7","p10","2036","IN",142708.402876685
"battery_2","new7","p10","2036","out",121301.300184395
"battery_2","new7","p10","2038","IN",134026.958697039
"battery_2","new7","p10","2038","out",113889.400730662
