"Dim1","Dim2","Val"
"beccs_mod","2018",4834971
"beccs_mod","2019",4834971
"beccs_mod","2020",4834971
"beccs_mod","2021",4820240
"beccs_mod","2022",4805510
"beccs_mod","2023",4790780
"beccs_mod","2024",4776050
"beccs_mod","2025",4761320
"beccs_mod","2026",4746589
"beccs_mod","2027",4731859
"beccs_mod","2028",4717129
"beccs_mod","2029",4702399
"beccs_mod","2030",4687669
"beccs_mod","2031",4674238
"beccs_mod","2032",4660808
"beccs_mod","2033",4647377
"beccs_mod","2034",4633947
"beccs_mod","2035",4620516
"beccs_mod","2036",4607086
"beccs_mod","2037",4593655
"beccs_mod","2038",4580225
"beccs_mod","2039",4566794
"beccs_mod","2040",4553364
"beccs_mod","2041",4539933
"beccs_mod","2042",4526503
"beccs_mod","2043",4513072
"beccs_mod","2044",4499642
"beccs_mod","2045",4486211
"beccs_mod","2046",4472781
"beccs_mod","2047",4459351
"beccs_mod","2048",4445920
"beccs_mod","2049",4432490
"beccs_mod","2050",4419059
"beccs_max","2010",5028369
"beccs_max","2011",5028369
"beccs_max","2012",5028369
"beccs_max","2013",5028369
"beccs_max","2014",5028369
"beccs_max","2015",5028369
"beccs_max","2016",5028369
"beccs_max","2017",5028369
"beccs_max","2018",5028369
"beccs_max","2019",5028369
"beccs_max","2020",5028369
"beccs_max","2021",5013033
"beccs_max","2022",4997696
"beccs_max","2023",4982446
"beccs_max","2024",4967109
"beccs_max","2025",4951772
"beccs_max","2026",4936436
"beccs_max","2027",4921099
"beccs_max","2028",4905849
"beccs_max","2029",4890512
"beccs_max","2030",4875175
"beccs_max","2031",4861225
"beccs_max","2032",4847275
"beccs_max","2033",4833238
"beccs_max","2034",4819287
"beccs_max","2035",4805337
"beccs_max","2036",4791386
"beccs_max","2037",4777436
"beccs_max","2038",4763399
"beccs_max","2039",4749449
"beccs_max","2040",4735498
"beccs_max","2041",4721548
"beccs_max","2042",4707598
"beccs_max","2043",4693561
"beccs_max","2044",4679610
"beccs_max","2045",4665660
"beccs_max","2046",4651710
"beccs_max","2047",4637759
"beccs_max","2048",4623722
"beccs_max","2049",4609772
"beccs_max","2050",4595821
"caes","2010",918531
"caes","2011",918531
"caes","2012",918531
"caes","2013",918531
"caes","2014",918531
"caes","2015",918531
"caes","2016",918531
"caes","2017",918531
"caes","2018",918531
"caes","2019",918531
"caes","2020",918531
"caes","2021",918531
"caes","2022",918531
"caes","2023",918531
"caes","2024",918531
"caes","2025",918531
"caes","2026",918531
"caes","2027",918531
"caes","2028",918531
"caes","2029",918531
"caes","2030",918531
"caes","2031",918531
"caes","2032",918531
"caes","2033",918531
"caes","2034",918531
"caes","2035",918531
"caes","2036",918531
"caes","2037",918531
"caes","2038",918531
"caes","2039",918531
"caes","2040",918531
"caes","2041",918531
"caes","2042",918531
"caes","2043",918531
"caes","2044",918531
"caes","2045",918531
"caes","2046",918531
"caes","2047",918531
"caes","2048",918531
"caes","2049",918531
"caes","2050",918531
"coal-CCS_mod","2010",3472442
"coal-CCS_mod","2011",3472442
"coal-CCS_mod","2012",3472442
"coal-CCS_mod","2013",3472442
"coal-CCS_mod","2014",3472442
"coal-CCS_mod","2015",3472442
"coal-CCS_mod","2016",3472442
"coal-CCS_mod","2017",3472442
"coal-CCS_mod","2018",3472442
"coal-CCS_mod","2019",3472442
"coal-CCS_mod","2020",3379016
"coal-CCS_mod","2021",3379016
"coal-CCS_mod","2022",3152678
"coal-CCS_mod","2023",3128584
"coal-CCS_mod","2024",3104489
"coal-CCS_mod","2025",3046079
"coal-CCS_mod","2026",2988400
"coal-CCS_mod","2027",2931450
"coal-CCS_mod","2028",2875230
"coal-CCS_mod","2029",2819011
"coal-CCS_mod","2030",2763521
"coal-CCS_mod","2031",2708762
"coal-CCS_mod","2032",2654733
"coal-CCS_mod","2033",2600704
"coal-CCS_mod","2034",2544484
"coal-CCS_mod","2035",2488264
"coal-CCS_mod","2036",2433505
"coal-CCS_mod","2037",2378746
"coal-CCS_mod","2038",2324716
"coal-CCS_mod","2039",2305003
"coal-CCS_mod","2040",2284560
"coal-CCS_mod","2041",2264116
"coal-CCS_mod","2042",2244403
"coal-CCS_mod","2043",2223959
"coal-CCS_mod","2044",2204246
"coal-CCS_mod","2045",2183802
"coal-CCS_mod","2046",2163359
"coal-CCS_mod","2047",2143646
"coal-CCS_mod","2048",2123202
"coal-CCS_mod","2049",2103489
"coal-CCS_mod","2050",2083045
"coal-CCS-F1","2010",4594321
"coal-CCS-F1","2011",4577651
"coal-CCS-F1","2012",4560982
"coal-CCS-F1","2013",4544312
"coal-CCS-F1","2014",4527642
"coal-CCS-F1","2015",4510972
"coal-CCS-F1","2016",4494302
"coal-CCS-F1","2017",4477632
"coal-CCS-F1","2018",4460963
"coal-CCS-F1","2019",4444293
"coal-CCS-F1","2020",4427623
