sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,compare,trans_cap_cost
61,,47.768578000000005,-122.60947,p1,1,,10.486151309357084,1.155880876251883,399.1333
184,,47.238686,-122.441055,p1,1,,6.890899431863226,1.155880876251883,709.0874
185,,47.25211,-122.363434,p1,1,,100.06784392357902,1.155880876251883,1494.2611
117,,47.513725,-122.31879,p1,1,,4.494064846867321,1.155880876251883,1908.0526
183,,47.178295,-122.49637,p1,1,,31.458453928071247,1.155880876251883,2603.9495
115,,47.5607,-122.341034,p1,1,,6.29169078561425,1.155880876251883,2672.2727
73,,47.88884,-121.90343,p1,1,,2.0972302618714167,1.155880876251883,3169.7097
100,,47.621067,-122.28518,p1,1,,13.781798863726452,1.155880876251883,3268.7573
163,,47.32582,-122.23016,p1,1,,116.84568601855035,1.155880876251883,3321.6523
70,,47.922676,-122.004135,p1,1,,1.1984172924979524,1.155880876251883,3491.6296
81,,47.71504,-122.32974,p1,1,,1.4980216156224404,1.155880876251883,3988.6838
119,,47.58742,-122.184845,p1,1,,12.5833815712285,1.155880876251883,4284.6157
98,,47.668053,-122.30744,p1,1,,8.688525370610154,1.155880876251883,4759.1045
120,,47.527092,-122.24077,p1,1,,5.392877816240786,1.155880876251883,4835.859
69,,47.90942,-122.08275,p1,1,,105.4607217398198,1.155880876251883,5085.644
18,,48.722507,-122.385704,p1,1,,2.696438908120393,1.155880876251883,5101.605
118,,47.57408,-122.262955,p1,1,,1.4980216156224404,1.155880876251883,5115.4194
13,,48.816616,-122.43131,p1,1,,18.27586371059377,1.155880876251883,5214.801
142,,47.519943,-121.98452,p1,1,,1.7976259387469284,1.155880876251883,5262.66
82,,47.728416,-122.25145,p1,1,,14.980216156224406,1.155880876251883,5313.2456
166,,47.33914,-122.152374,p1,1,,156.69306099410727,1.155880876251883,5359.2964
58,,47.95645,-122.10496,p1,1,,96.77219636920964,1.155880876251883,5472.92
3,,48.88366,-122.636826,p1,1,,61.41888624052006,1.155880876251883,5901.721
137,,47.480106,-122.21861,p1,1,,66.81176405676085,1.155880876251883,5982.2944
99,,47.68142,-122.22921,p1,1,,2.0972302618714167,1.155880876251883,6162.036999999999
68,,47.8491,-122.13911,p1,1,,193.2447884152949,1.155880876251883,6621.1484
83,,47.788765000000005,-122.195335,p1,1,,112.95082981793202,1.155880876251883,6621.2285
108,,47.674248,-121.97227,p1,1,,1.1984172924979524,1.155880876251883,6688.4956
126,,47.627216,-121.95028,p1,1,,1.1984172924979524,1.155880876251883,6804.0380000000005
127,,47.58018,-121.92833,p1,1,,4.194460523742833,1.155880876251883,6844.276999999999
200,,46.989376,-122.992775,p1,1,,77.59751968924242,1.155880876251883,7121.6934
67,,47.835773,-122.21759,p1,1,,126.13342003540949,1.155880876251883,7866.7466
111,,47.45987,-122.6305,p1,1,,5.692482139365274,1.155880876251883,7930.451
195,,47.318657,-121.974815,p1,1,,35.05370580556511,1.155880876251883,8178.715999999999
31,,48.379772,-122.306496,p1,1,,12.5833815712285,1.155880876251883,8260.952
186,,47.191746,-122.418846,p1,1,,246.2747536083292,1.155880876251883,8287.007
198,,47.036224,-123.01537,p1,1,,1.4980216156224404,1.155880876251883,8330.780999999999
104,,47.647736,-122.1288,p1,1,,38.34935335993448,1.155880876251883,8542.353000000001
208,,47.043922,-122.68395,p1,1,,8.388921047485667,1.155880876251883,8759.22
19,,48.735935,-122.30601,p1,1,,1.7976259387469284,1.155880876251883,8798.41
107,,47.734493,-121.91591,p1,1,,4.494064846867321,1.155880876251883,8831.019
49,,48.063816,-122.07068999999998,p1,1,,2.696438908120393,1.155880876251883,8958.207
106,,47.721283,-121.99429,p1,1,,41.64500091430384,1.155880876251883,9185.798
55,,47.943142,-122.1836,p1,1,,41.64500091430384,1.155880876251883,9430.049
138,,47.493423,-122.14062,p1,1,,79.69474995111382,1.155880876251883,9770.911
161,,47.3728,-122.252266,p1,1,,156.99266531723174,1.155880876251883,9772.034
139,,47.433117,-122.1965,p1,1,,85.98644073672808,1.155880876251883,9775.554
234,,47.0375,-122.4298,p1,1,,7.190503754987714,1.155880876251883,10288.829
146,,47.499264,-121.80645,p1,1,,144.40928374600327,1.155880876251883,10826.979
5,,48.897213,-122.55697,p1,1,,27.563597727452905,1.155880876251883,10910.271
66,,47.896122,-122.16133,p1,1,,44.04183549929975,1.155880876251883,11119.14
90,,47.84178,-121.88142,p1,1,,11.684568601855036,1.155880876251883,11341.3
21,,48.547676,-122.2155,p1,1,,28.76201501995085,1.155880876251883,11498.718
144,,47.533146,-121.90641,p1,1,,16.777842094971334,1.155880876251883,11872.262
147,,47.51238,-121.72833,p1,1,,2.0972302618714167,1.155880876251883,12173.367
