"Dim1","Val"
"2010",-5.47842327791626E-18
"2012",4.10430865051883E-18
"2014",-2.32934275018216E-17
"2016",-4.04181675135973E-17
"2018",-4.65033874137826E-17
"2020",-8.21539437917378E-17
"2022",0.0113386746420244
"2024",0.0211882475607604
"2026",0.0102675915214632
"2028",0.0259047735060505
"2030",0.0806941147598015
"2032",0.0521168581898421
"2034",0.05049273441425
"2036",0.0534480374656668
"2038",0.0618880765845054
"2040",0.068959289134971
"2042",0.0749697350963896
"2044",0.0724136905458362
"2046",0.0865264536516263
"2048",0.0956191201473591
"2050",0.103167911264499
