year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,trans_cap_cost,built_capacity,investment_bool
2016,10922,,34.371902,-118.860855,p10,6,,6504.3164,0.2523623127069831,0
2016,11728,,34.035217,-117.334404,p10,6,,7758.694,130.4713156695103,1
2016,11215,,34.286587,-118.4939,p10,6,,7860.028,35.07836146627065,1
2016,11060,,34.287859999999995,-118.76543999999998,p10,6,,8083.753000000001,2.5236231270698317,1
2016,11718,,33.990902,-117.59013,p10,6,,8347.527,7.407474281284664,1
2016,11858,,34.14852,-116.35859,p10,7,,18401.17,8.397179739507958,0
2016,11856,,34.079227,-116.472916,p10,7,,20456.236,2.583747612156295,0
2016,11857,,34.089787,-116.40877,p10,7,,117431.664,78.14399572525883,0
2016,13042,,32.770965999999994,-117.02311,p11,6,,323.3736,0.9683925773195876,0
2016,13160,,32.674343,-116.99478,p11,6,,5668.8203,14.831607422680413,1
2016,9745,,36.79183,-114.15926,p13,5,,30567.682,6.356985081081081,1
2016,9747,,36.80115,-114.092224,p13,5,,40542.805,3.343014918918925,1
2016,7237,,39.645092,-110.76543,p25,5,,843.6955,4.867444255975326,1
2016,8538,,38.579754,-109.60382,p25,5,,5673.4917,3.6505831919814944,1
2016,7236,,39.637493,-110.83582,p25,5,,5945.368,0.9734888511950652,1
2016,8539,,38.586735,-109.53441,p25,5,,7574.844,35.908483700848116,1
2016,10947,,35.201405,-114.08028,p27,6,,3519.6436,2.7840800834202293,1
2016,10946,,35.08698,-114.52548,p27,6,,7436.1284,3.11591991657977,1
2016,13547,,32.675846,-114.493805,p28,7,,5455.411999999999,21.599999999999966,1
2016,14200,,32.070159999999994,-110.836845,p30,6,,4896.062,19.659999999999997,1
2016,14807,,31.813198,-106.60987,p31,7,,5110.652,33.40000000000005,1
2016,8360,,39.039272,-108.41655,p33,5,,2132.0273,1.0368000000000002,0
2016,8068,,39.61901,-104.728065,p33,5,,4096.9688,25.863199999999978,1
2016,8605,,38.92872,-104.77772,p34,5,,3559.823,3.0,1
2016,765,,44.253525,-121.25785,p5,4,,9217.217,9.2,1
2016,1527,,42.182365,-122.62987,p6,4,,645.1009,0.5184000000000001,0
