sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,supply_curve_cost_per_mw
14060,27618,43.94,-86.27799999999999,s212,7,3,14.6286,446615.9405967548
15674,29518,43.456,-86.35600000000001,s212,7,3,15.357599999999998,499316.35792390513
13440,26862,44.093,-85.63799999999999,s212,7,4,42.0147,507667.88870609226
13436,26858,44.13399999999999,-86.24700000000001,s212,7,4,30.3507,523703.6999422172
15675,29519,43.446000000000005,-86.205,s212,7,4,37.0818,541271.143799305
13438,26860,44.114,-85.94200000000001,s212,7,4,40.7754,546603.4734462217
18549,32941,42.553,-86.04700000000001,s212,7,4,27.8235,563512.404517155
15676,29520,43.43600000000001,-86.054,s212,7,4,10.8135,573287.5656483866
12559,25719,44.415,-86.046,s212,7,4,19.751526177978512,585703.8182775007
11703,24579,44.706,-85.99799999999999,s212,7,4,46.6074,626705.9742640682
12270,25339,44.512,-86.03,s212,7,4,38.302875,655107.8339953738
15033,28763,43.598,-85.57,s212,7,4,32.3919,667102.5537408447
14378,28000,43.823,-85.991,s212,7,5,38.3454,667128.9261465651
14703,28378,43.746,-86.309,s212,7,5,8.5536,764589.5716489493
11984,24959,44.609,-86.014,s212,7,5,38.394,806888.4969636684
15993,29899,43.349,-86.221,s212,7,5,6.7797,848459.5020448427
16314,30281,43.231,-85.936,s212,7,5,11.5911,903207.391606195
15994,29900,43.339,-86.07,s212,7,5,11.4696,915430.5749827814
18233,32561,42.65,-86.031,s212,7,5,12.7575,927740.3814488936
18548,32940,42.563,-86.195,s212,7,5,10.5462,943254.104506552
15355,29142,43.512,-85.73700000000001,s212,7,5,14.7987,954499.6418429444
15030,28760,43.629,-86.023,s212,7,5,11.8341,961382.8951893996
14706,28381,43.716,-85.855,s212,7,5,23.814,985744.5636739894
15353,29140,43.532,-86.039,s212,7,5,9.0639,1099203.3314959717
15032,28762,43.609,-85.721,s212,7,5,10.6677,1127012.7555196476
11985,24960,44.599,-85.86,s212,7,5,19.44,1129440.2187721138
18235,32563,42.629,-85.734,s212,7,5,10.1574,1228348.6422146845
15679,29523,43.404,-85.603,s212,7,5,8.748,1243077.4349549443
14381,28003,43.792,-85.536,s212,7,5,11.0808,1319214.4300473584
17279,31420,42.951,-86.133,s212,7,5,6.561,1375145.670534564
14705,28380,43.726000000000006,-86.007,s212,7,5,6.5124,1469482.003126196
15996,29902,43.318000000000005,-85.77,s212,7,5,8.820899999999998,1484011.120431119
15029,28759,43.64,-86.17399999999999,s212,7,5,7.2657,1679143.089957514
18550,32942,42.543,-85.898,s212,7,5,12.5874,1728177.334574978
