"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"p3","p4","AC","wint","2028",1201.44018567392
"p3","p4","AC","wint","2040",467.572673401898
"p3","p4","AC","wint","2042",499.91286027557
"p3","p4","AC","wint","2044",333.315912404755
"p3","p4","AC","wint","2046",583.147820301511
"p3","p4","AC","wint","2048",579.630423299805
"p3","p4","AC","wint","2050",734.715618100545
"p3","p4","AC","spri","2026",237.695555660934
"p3","p4","AC","spri","2032",109.874341107508
"p3","p4","AC","spri","2046",21.3331769999995
"p3","p14","AC","summ","2022",1159.36926919008
"p3","p14","AC","fall","2024",351.8822402
"p3","p14","AC","fall","2026",385.032670959677
"p3","p14","AC","wint","2022",282.07459030303
"p3","p14","AC","wint","2024",1724.62
"p3","p14","AC","wint","2026",1724.62
"p3","p14","AC","wint","2030",679.815490729741
"p3","p14","AC","wint","2032",678.203326392375
"p3","p14","AC","wint","2034",376.972843276877
"p3","p14","AC","spri","2024",1724.62
"p3","p14","AC","spri","2026",1724.62
"p3","p14","AC","spri","2028",1724.62
"p3","p14","AC","spri","2030",1724.62
"p3","p14","AC","spri","2032",1724.62
"p3","p14","AC","spri","2036",288.43480452685
"p3","p14","AC","spri","2040",581.31712432817
"p3","p14","AC","spri","2048",1724.62
"p3","p17","AC","wint","2026",142.147507470659
"p3","p17","AC","wint","2030",38.4254895722092
"p3","p17","AC","wint","2034",19.5325642477064
"p3","p17","AC","spri","2026",142.147507470659
"p3","p17","AC","spri","2032",335.850810122226
"p3","p17","AC","spri","2034",54.4541040642094
"p3","p17","AC","spri","2038",715.133446643572
"p3","p17","AC","spri","2042",188.033026498796
"p3","p17","AC","spri","2044",53.5514280095945
"p3","p17","AC","spri","2050",225.140919977707
"p4","p1","AC","summ","2022",4829.77452152
"p4","p1","AC","summ","2024",4813.20649652
"p4","p1","AC","summ","2026",4948.54825894625
"p4","p1","AC","summ","2028",4831.40795208501
"p4","p1","AC","summ","2030",4964.24256360703
"p4","p1","AC","summ","2032",5406.8176035302
"p4","p1","AC","summ","2034",5996.68753765912
"p4","p1","AC","summ","2036",6897.46819734849
"p4","p1","AC","summ","2038",7503.26115089054
"p4","p1","AC","summ","2040",7368.26129413573
"p4","p1","AC","summ","2042",6036.72484288458
"p4","p1","AC","summ","2044",4720.99480070357
"p4","p1","AC","summ","2046",3300.72207381011
