Dim1,Year,Month,Day,Hour,Production (ton)
Emission,2046,12,31,12,0.0
Emission,2047,12,31,12,0.0
Emission,2048,12,31,12,0.0
Emission,2049,12,31,12,0.0
Emission,2050,12,31,12,0.0
Emission,2051,12,31,12,0.0
Emission,2052,12,31,12,0.0
Emission,2023,12,31,12,72505.7001152778
Emission,2024,12,31,12,41210.8980064315
Emission,2025,12,31,12,21141.7830194987
Emission,2026,12,31,12,21504.4639940137
Emission,2027,12,31,12,20993.5420693808
Emission,2028,12,31,12,21469.6442572937
Emission,2029,12,31,12,22307.100956451
Emission,2030,12,31,12,21977.2488216472
Emission,2031,12,31,12,22729.8697111368
Emission,2032,12,31,12,22726.8645973398
Emission,2033,12,31,12,23250.5875945753
Emission,2034,12,31,12,23684.0188753865
Emission,2035,12,31,12,23993.3895116451
Emission,2036,12,31,12,24498.2973011896
Emission,2037,12,31,12,24947.1246773663
Emission,2038,12,31,12,25247.2262923511
Emission,2039,12,31,12,25858.9829250782
Emission,2040,12,31,12,26320.3868739859
Emission,2041,12,31,12,26527.5009550557
Emission,2042,12,31,12,27086.5079163052
Emission,2043,12,31,12,27364.4477753294
Emission,2044,12,31,12,28113.7718632198
Emission,2045,12,31,12,28511.316556162
Emission,2046,12,31,12,28844.0536415234
Emission,2047,12,31,12,29373.6670462469
Emission,2048,12,31,12,29944.3905947221
Emission,2049,12,31,12,30390.5905679975
Emission,2050,12,31,12,1327.88122813388
Emission,2051,12,31,12,1229.86861649394
Emission,2052,12,31,12,1360.98734627697
Emission,2023,12,31,12,0.0
Emission,2024,12,31,12,0.0
Emission,2025,12,31,12,0.0
Emission,2026,12,31,12,0.0
Emission,2027,12,31,12,0.0
Emission,2028,12,31,12,0.0
Emission,2029,12,31,12,0.0
Emission,2030,12,31,12,0.0
Emission,2031,12,31,12,0.0
Emission,2032,12,31,12,0.0
Emission,2033,12,31,12,0.0
Emission,2034,12,31,12,0.0
Emission,2035,12,31,12,0.0
Emission,2036,12,31,12,0.0
Emission,2037,12,31,12,0.0
Emission,2038,12,31,12,0.0
Emission,2039,12,31,12,0.0
Emission,2040,12,31,12,0.0
Emission,2041,12,31,12,0.0
Emission,2042,12,31,12,0.0
Emission,2043,12,31,12,0.0
Emission,2044,12,31,12,0.0
Emission,2045,12,31,12,0.0
Emission,2046,12,31,12,0.0
Emission,2047,12,31,12,0.0
Emission,2048,12,31,12,0.0
Emission,2049,12,31,12,0.0
Emission,2050,12,31,12,0.0
Emission,2051,12,31,12,0.0
Emission,2052,12,31,12,0.0
