dimension_1,dimension_2,dimension_3,Value
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,1425.45521834318
model_name,parent_class_id,p1,1729.7541423292
model_name,parent_class_id,p1,1923.90039737397
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
model_name,parent_class_id,p1,0.0
