dimension_1,dimension_2,dimension_3,Value
model_name,parent_class_id,parent_id,300.1585451264
model_name,parent_class_id,parent_id,299.76816999999
model_name,parent_class_id,parent_id,298.85804000001
model_name,parent_class_id,parent_id,298.59569999995
model_name,parent_class_id,parent_id,297.51878000003
model_name,parent_class_id,parent_id,298.85855999994
model_name,parent_class_id,parent_id,300.24942999995
model_name,parent_class_id,parent_id,289.67211000001
model_name,parent_class_id,parent_id,288.24881701596
model_name,parent_class_id,parent_id,283.26896000004
model_name,parent_class_id,parent_id,297.72431000003
model_name,parent_class_id,parent_id,300.81051000003
model_name,parent_class_id,parent_id,36.64299199993
model_name,parent_class_id,parent_id,34.84785599997
model_name,parent_class_id,parent_id,34.92014399998
model_name,parent_class_id,parent_id,34.98896000011
model_name,parent_class_id,parent_id,33.7239359999
model_name,parent_class_id,parent_id,33.39777599998
model_name,parent_class_id,parent_id,34.55315200009
model_name,parent_class_id,parent_id,34.45595200006
model_name,parent_class_id,parent_id,36.85163199992
model_name,parent_class_id,parent_id,35.96347199999
model_name,parent_class_id,parent_id,36.64411199994
model_name,parent_class_id,parent_id,36.55841600007
model_name,parent_class_id,parent_id,36.38094400004
model_name,parent_class_id,parent_id,36.73305599999
model_name,parent_class_id,parent_id,36.84926404543
model_name,parent_class_id,parent_id,36.70620799996
model_name,parent_class_id,parent_id,36.56046399994
model_name,parent_class_id,parent_id,36.83848000004
model_name,parent_class_id,parent_id,36.89052800001
model_name,parent_class_id,parent_id,36.8311359998601
model_name,parent_class_id,parent_id,36.78252799998
model_name,parent_class_id,parent_id,36.75021470984
model_name,parent_class_id,parent_id,36.61769599992
model_name,parent_class_id,parent_id,36.64363200009
model_name,parent_class_id,parent_id,36.95388714688
model_name,parent_class_id,parent_id,36.43046864562
model_name,parent_class_id,parent_id,34.92863999993
model_name,parent_class_id,parent_id,36.1088159999
model_name,parent_class_id,parent_id,36.64299199997
model_name,parent_class_id,parent_id,37.02213959299
model_name,parent_class_id,parent_id,50.38411399999
model_name,parent_class_id,parent_id,47.83789999987
model_name,parent_class_id,parent_id,48.10194768483
model_name,parent_class_id,parent_id,48.04646000006
model_name,parent_class_id,parent_id,47.45100800001
model_name,parent_class_id,parent_id,46.43861199999
model_name,parent_class_id,parent_id,47.31487199995
model_name,parent_class_id,parent_id,47.41026400006
model_name,parent_class_id,parent_id,50.36275199999
model_name,parent_class_id,parent_id,49.5231718294401
model_name,parent_class_id,parent_id,50.38565400001
model_name,parent_class_id,parent_id,50.19174599994
model_name,parent_class_id,parent_id,50.09987400003
model_name,parent_class_id,parent_id,50.82622599996
model_name,parent_class_id,parent_id,50.58004599991
model_name,parent_class_id,parent_id,50.47103600002
model_name,parent_class_id,parent_id,50.27063800005
model_name,parent_class_id,parent_id,50.65290999997
model_name,parent_class_id,parent_id,50.44188600001
model_name,parent_class_id,parent_id,50.74373908899
model_name,parent_class_id,parent_id,50.65746400011
model_name,parent_class_id,parent_id,50.5145080001
model_name,parent_class_id,parent_id,50.34933199998
model_name,parent_class_id,parent_id,50.41240600003
model_name,parent_class_id,parent_id,50.8116620001
model_name,parent_class_id,parent_id,48.79967400002
model_name,parent_class_id,parent_id,49.77922400003
model_name,parent_class_id,parent_id,50.3654626142901
model_name,parent_class_id,parent_id,50.3841140000099
model_name,parent_class_id,parent_id,50.90639400005
model_name,parent_class_id,parent_id,280.319999999999
model_name,parent_class_id,parent_id,270.016
model_name,parent_class_id,parent_id,273.824
model_name,parent_class_id,parent_id,269.248
model_name,parent_class_id,parent_id,259.552
model_name,parent_class_id,parent_id,262.784
model_name,parent_class_id,parent_id,255.744
model_name,parent_class_id,parent_id,263.584
model_name,parent_class_id,parent_id,261.696
model_name,parent_class_id,parent_id,261.312
model_name,parent_class_id,parent_id,262.24
model_name,parent_class_id,parent_id,269.888
model_name,parent_class_id,parent_id,264.81347812903
model_name,parent_class_id,parent_id,269.44466785625
model_name,parent_class_id,parent_id,271.83941744402
model_name,parent_class_id,parent_id,271.424
model_name,parent_class_id,parent_id,275.616
model_name,parent_class_id,parent_id,274.784
model_name,parent_class_id,parent_id,273.152
model_name,parent_class_id,parent_id,273.568
model_name,parent_class_id,parent_id,273.87766302393
model_name,parent_class_id,parent_id,276.384
model_name,parent_class_id,parent_id,274.72
model_name,parent_class_id,parent_id,274.56
model_name,parent_class_id,parent_id,274.784
model_name,parent_class_id,parent_id,275.616
model_name,parent_class_id,parent_id,275.52
