Dim1,year,month,day,hour,Generation
Batteries,2023,1,1,0,0.0
Batteries,2023,1,1,2,0.0
Batteries,2023,1,1,4,0.0
Batteries,2023,1,1,6,0.0
Batteries,2023,1,1,8,0.0
Batteries,2023,1,1,10,0.0
Batteries,2023,1,1,12,0.0
Batteries,2023,1,1,14,0.0
Batteries,2023,1,1,16,0.0
Batteries,2023,1,1,18,0.0
Batteries,2023,1,1,20,0.0
Batteries,2023,1,1,22,0.0
Batteries,2023,1,2,0,0.0
Batteries,2023,1,2,2,0.0
Batteries,2023,1,2,4,0.0
Batteries,2023,1,2,6,0.0
Batteries,2023,1,2,8,0.0
Batteries,2023,1,2,10,0.0
Batteries,2023,1,2,12,0.0
Batteries,2023,1,2,14,0.0
Batteries,2023,1,2,16,0.0
Batteries,2023,1,2,18,0.0
Batteries,2023,1,2,20,0.0
Batteries,2023,1,2,22,0.0
Batteries,2023,1,3,0,0.0
Batteries,2023,1,3,2,0.0
Batteries,2023,1,3,4,0.0
Batteries,2023,1,3,6,0.0
Batteries,2023,1,3,8,0.0
Batteries,2023,1,3,10,0.0
Batteries,2023,1,3,12,0.0
Batteries,2023,1,3,14,0.0
Batteries,2023,1,3,16,0.0
Batteries,2023,1,3,18,0.0
Batteries,2023,1,3,20,0.0
Batteries,2023,1,3,22,0.0
Batteries,2023,1,4,0,0.0
Batteries,2023,1,4,2,0.0
Batteries,2023,1,4,4,0.0
Batteries,2023,1,4,6,0.0
Batteries,2023,1,4,8,0.0
Batteries,2023,1,4,10,0.0
Batteries,2023,1,4,12,0.0
Batteries,2023,1,4,14,0.0
Batteries,2023,1,4,16,0.0
Batteries,2023,1,4,18,0.0
Batteries,2023,1,4,20,0.0
Batteries,2023,1,4,22,0.0
Batteries,2023,1,5,0,0.0
Batteries,2023,1,5,2,0.0
Batteries,2023,1,5,4,0.0
Batteries,2023,1,5,6,0.0
Batteries,2023,1,5,8,0.0
Batteries,2023,1,5,10,0.0
Batteries,2023,1,5,12,0.0
Batteries,2023,1,5,14,0.0
Batteries,2023,1,5,16,0.0
Batteries,2023,1,5,18,0.0
